1       20      15      14      13      13
1       14      12      12      10     10
1       7       5       5       6       5
1       6       10      9       8      7
1       9       7       9       5       4
1       9       9      9       11      8
1       7       3       7       6       5
1       18      17      16      14      12
1       6       9     9     9     9
1       10      15      12      12      11
1       5       9       7       3       5
1       11      11      8       8     9
1       10      2       9       3       5
1       17      12      14      10     9
1       16      15      12     7       9
1       7       10      4       7     5
1       5       0       5       0       0
1       16      7       7       6       4
1       2       1       1       2       2
1       7       11      7       5       8
1       9       16      14     10      6
1       2       5       6       7       6
1       7       3       5       5       5
1       19      13      14     12     10
1       7       5       8       8       6
2       9       12      16      17    18
2       6       7       10     15      16
2       13      18      14      21      21
2       9       10      12      14    15
2       6       7       8       9       12
2       11      11      12      14      16
2       7       10      11      12      14
2       8       18      19      19      22
2       3       3       3       7       8
2       4       10      11     17      18
2       11      10      10      15      16
2       1       3       2       4       5
2       6       7       7       9       10
2       0       3       3       4       6
2       18      18      19      22      22
2       15      15      15      18      19
2       10     14     16     17     19
2       6       6       7       9       10
2       9     9     13     16     20
2       4       3       4       7       9
2       4       13      13     16     19
2       10      11     13    17     21
